participant_id,TRIAL_INDEX,image_id,voice_id,aoi_type,CURRENT_FIX_X,CURRENT_FIX_Y,distance_from_center,CURRENT_FIX_START,CURRENT_FIX_DURATION,CURRENT_FIX_INTEREST_AREA_LABEL
edf09,23,IMG_01,ACT,subject,991.4,311.0,194.34878440576878,6752,358,s_girl_girl_lit_lamp
edf09,24,IMG_14,ACT,object,883.6,330.5,177.7245059073171,6228,366,o_scooter_driver_wash_scooter
edf09,25,IMG_05,PWA,object,1089.4,379.6,190.28234284872576,5942,406,o_box_man_pushed_box
edf09,26,IMG_03,PWA,object,756.3,532.9,187.83963905416775,6146,212,o_tree_girl_plant_tree
edf09,27,IMG_04,PWA,object,860.4,437.5,101.20177864049624,5954,242,o_shrub_man_cut_shrub
edf09,28,IMG_13,PNA,subject,979.9,637.6,144.24430664674432,6282,232,s_dog_dog_dug_hole
edf09,29,IMG_12,PNA,subject,979.0,396.3,109.22344070756971,6086,174,.
edf09,30,IMG_11,PNA,object,795.3,523.5,147.79556826914674,6232,162,o_tabla_child_play_tabla
edf09,31,IMG_07,ACT,object,1051.5,296.7,230.2482356067034,7400,266,o_picture_artiste_drew_picture
edf09,32,IMG_15,ACT,subject,892.4,343.7,162.44063531025728,6588,246,s_girl_girl_baked_cake
edf09,33,IMG_02,ACT,subject,895.0,396.3,112.25756099256742,6046,440,s_girl_girl_opened_window
edf09,34,IMG_16,PWA,object,942.6,685.0,186.30687051206672,6058,304,o_dog_girl_fed_dog
edf09,35,IMG_18,PWA,object,907.9,657.0,161.72352951874382,6160,148,o_veg_boy_cut_vegetables
edf09,36,IMG_08,PWA,subject,724.3,401.7,237.41922837040815,6616,888,s_boy_boy_broke_vase
edf10,19,IMG_17,ACT,subject,742.5,402.3,220.66991185931985,6147,155,s_woman_woman_read_letter
edf10,20,IMG_09,ACT,subject,1026.0,299.9,216.2092504959027,5836,196,s_boy_boy_filled_bucket
edf10,21,IMG_06,ACT,subject,438.2,843.4,609.6112941867137,5692,108,.
edf10,22,IMG_10,PWA,subject,850.7,354.7,169.97085044206844,5868,128,s_boy_boy_opened_door
edf10,23,IMG_01,PWA,subject,980.2,250.1,251.67161143045118,5558,206,s_girl_girl_lit_lamp
edf10,24,IMG_14,PWA,object,918.4,370.1,130.57074710669306,5988,428,o_scooter_driver_wash_scooter
edf10,25,IMG_05,PNA,subject,830.3,366.0,172.81140008691557,5610,142,s_man_man_pushed_box
edf10,26,IMG_03,PNA,object,712.5,707.2,309.3291127585634,5932,254,o_tree_girl_plant_tree
edf10,27,IMG_04,PNA,object,782.5,542.4,164.41392885032582,6242,150,o_shrub_man_cut_shrub
edf10,28,IMG_13,ACT,subject,836.7,594.9,141.89055641585168,6208,446,s_dog_dog_dug_hole
edf10,29,IMG_12,ACT,subject,1147.7,51.0,493.1127457286011,6136,56,.
edf10,30,IMG_11,ACT,subject,375.0,746.7,617.9482178953185,6508,28,.
edf10,31,IMG_07,PWA,subject,813.0,365.2,184.9493173818168,6140,140,s_artiste_artiste_drew_picture
edf10,32,IMG_15,PWA,subject,624.8,731.3,392.536877248495,5802,166,.
edf10,33,IMG_02,PWA,subject,898.9,341.3,162.9330230493499,5828,256,s_girl_girl_opened_window
edf10,34,IMG_16,PNA,subject,788.3,377.0,195.2643848734326,5500,146,s_girl_girl_fed_dog
edf10,35,IMG_18,PNA,subject,975.0,380.9,122.60848257767486,5498,206,s_boy_boy_cut_vegetables
edf10,36,IMG_08,PNA,object,871.2,414.8,109.13867325563376,5568,234,o_vase_boy_broke_vase
edf11,19,IMG_17,PWA,subject,940.5,369.5,129.20096748863762,5906,352,s_woman_woman_read_letter
edf11,20,IMG_09,PWA,subject,997.6,350.8,158.36025385177933,6470,454,s_boy_boy_filled_bucket
edf11,21,IMG_06,PWA,subject,943.6,327.9,170.8197880808895,8866,1824,s_woman_woman_folded_clothes
edf11,22,IMG_10,PNA,subject,844.9,441.3,111.93734854819459,5216,272,s_boy_boy_opened_door
edf11,23,IMG_01,PNA,object,727.1,500.6,213.90843835622752,5698,274,o_lamp_girl_light_lamp
edf11,24,IMG_14,PNA,subject,751.3,193.9,359.0113229412131,6236,464,s_driver_driver_wash_scooter
edf11,25,IMG_05,ACT,subject,913.3,361.6,139.87029706124167,5796,150,s_man_man_pushed_box
edf11,26,IMG_03,ACT,object,629.6,684.3,362.5152686439565,5888,304,o_tree_girl_plant_tree
edf11,27,IMG_04,ACT,object,774.8,366.1,212.61514527427252,5530,30,o_shrub_man_cut_shrub
edf11,28,IMG_13,PWA,subject,1309.2,217.2,463.4797622334766,5412,146,.
edf11,29,IMG_12,PWA,subject,1055.7,347.6,189.70318921936976,5522,1120,s_child_child_throw_frisbee
edf11,30,IMG_11,PWA,subject,774.6,289.7,267.1515674668595,5939,15,.
edf11,31,IMG_07,PNA,subject,816.6,459.0,130.58120079092546,5474,168,s_artiste_artiste_drew_picture
edf11,32,IMG_15,PNA,subject,882.5,386.8,126.26899857051214,6456,290,s_girl_girl_baked_cake
edf11,33,IMG_02,PNA,object,1200.2,510.8,259.4822729975981,5978,4992,o_window_girl_opened_window
edf11,34,IMG_16,ACT,subject,961.3,343.7,156.32367063244132,5416,148,.
edf11,35,IMG_18,ACT,object,920.1,771.2,273.3003110133613,6250,274,o_veg_boy_cut_vegetables
edf11,36,IMG_08,ACT,subject,989.9,252.6,250.91117950382363,5467,3,.
edf12,19,IMG_17,PNA,subject,951.3,371.4,127.7160130915462,6560,870,s_woman_woman_read_letter
edf12,20,IMG_09,PNA,subject,1003.0,413.4,105.45183734767262,5742,170,s_boy_boy_filled_bucket
edf12,21,IMG_06,PNA,subject,973.3,374.9,127.94424566974476,6182,112,s_woman_woman_folded_clothes
edf12,22,IMG_10,ACT,subject,851.7,449.8,101.81208179779053,6384,156,s_boy_boy_opened_door
edf12,23,IMG_01,ACT,object,815.8,461.5,130.60964742315176,5449,151,o_lamp_girl_light_lamp
edf12,24,IMG_14,ACT,subject,756.4,300.7,270.70493161374065,6272,124,s_driver_driver_wash_scooter
edf12,25,IMG_05,PWA,object,1091.7,440.2,161.65624021360887,5878,224,o_box_man_pushed_box
edf12,26,IMG_03,PWA,object,628.5,501.1,312.50921586410857,6424,184,o_tree_girl_plant_tree
edf12,27,IMG_04,PWA,object,819.0,529.6,125.85233410628506,5728,118,o_shrub_man_cut_shrub
edf12,28,IMG_13,PNA,subject,775.4,532.8,169.074451056332,5241,49,s_dog_dog_dug_hole
edf12,29,IMG_12,PNA,subject,1071.2,347.3,199.68475154603067,6254,130,s_child_child_throw_frisbee
edf12,30,IMG_11,PNA,object,689.5,571.4,261.7967532266204,6342,362,o_tabla_child_play_tabla
edf12,31,IMG_07,ACT,object,1061.6,391.5,161.35736735581668,6264,166,o_picture_artiste_drew_picture
edf12,32,IMG_15,ACT,subject,857.2,292.5,222.57780662051638,6236,540,s_girl_girl_baked_cake
edf12,33,IMG_02,ACT,subject,871.1,380.0,137.75231395515647,5974,356,s_girl_girl_opened_window
edf12,34,IMG_16,PWA,object,933.9,630.0,131.4918248409383,5808,46,o_dog_girl_fed_dog
edf12,35,IMG_18,PWA,object,877.1,824.6,332.10543506543223,5822,174,o_veg_boy_cut_vegetables
edf12,36,IMG_08,PWA,subject,650.1,350.7,326.3844512227872,6034,162,s_boy_boy_broke_vase
edf13,19,IMG_11,ACT,object,776.8,590.4,188.0705452749048,5684,394,o_tabla_child_play_tabla
edf13,20,IMG_10,ACT,subject,817.9,362.3,183.7350538139089,7442,364,s_boy_boy_opened_door
