participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,mean_saccade_amplitude,saccade_count,mean_saccade_velocity,mean_saccade_duration,saccade_rate
edf01,27,Punjabi,sentence_audio,passive_dropped_agent,11145,1.8858333333333335,12,174.32083333333333,47.333333333333336,1.0767160161507403
edf01,28,English,sentence_audio,active,11082,2.605,8,116.80375000000001,53.25,0.7218913553510197
edf01,29,English,sentence_audio,active,10430,2.545714285714286,7,221.64000000000004,43.142857142857146,0.6711409395973155
edf01,3,,free_viewing,,6032,2.1,9,75.93666666666667,35.333333333333336,1.4920424403183024
edf01,30,English,sentence_audio,active,10254,3.338,10,132.02000000000004,41.4,0.9752291788570314
edf01,31,English,sentence_audio,passive,10196,2.2809999999999997,10,72.544,28.2,0.9807767752059632
edf01,32,English,sentence_audio,passive,10912,1.18,6,68.71666666666665,34.666666666666664,0.5498533724340176
edf01,33,English,sentence_audio,passive,10400,3.528,10,94.479,34.0,0.9615384615384615
edf01,34,English,sentence_audio,passive_dropped_agent,10936,2.5580000000000003,5,80.208,38.4,0.45720555961960496
edf01,35,English,sentence_audio,passive_dropped_agent,10851,4.505384615384615,13,99.97384615384614,38.15384615384615,1.1980462630172333
edf01,36,English,sentence_audio,passive_dropped_agent,10826,2.7960000000000003,5,240.42,231.2,0.46185109920561607
edf01,4,,free_viewing,,5654,2.927692307692308,13,83.85384615384615,31.384615384615383,2.2992571630703926
edf01,5,,free_viewing,,5837,2.936666666666666,15,85.16933333333334,30.133333333333333,2.569813260236423
edf01,6,,free_viewing,,5800,1.9849999999999999,10,66.613,26.8,1.7241379310344829
edf01,7,,free_viewing,,5816,2.4316666666666666,12,116.89999999999999,41.5,2.063273727647868
edf01,8,,free_viewing,,5942,2.7464285714285714,14,84.01000000000002,29.857142857142858,2.356109054190508
edf01,9,,free_viewing,,5883,2.502,10,73.57,29.4,1.6998130205677375
edf02,1,,free_viewing,,5693,2.9526666666666666,15,79.01,32.13333333333333,2.6348146847005096
edf02,10,,free_viewing,,5962,3.731666666666667,6,246.67333333333332,83.33333333333333,1.0063737001006374
edf02,11,,free_viewing,,6045,1.2749999999999997,16,102.88375,49.625,2.6468155500413566
edf02,12,,free_viewing,,5674,3.222105263157894,19,84.63315789473684,47.05263157894737,3.3486076841734222
edf02,13,,free_viewing,,6091,1.2338461538461536,13,71.05461538461539,34.30769230769231,2.134296503037268
edf02,14,,free_viewing,,6086,2.324,15,113.55,40.8,2.464673020046007
edf02,15,,free_viewing,,5676,3.032222222222222,18,94.86722222222222,47.22222222222222,3.171247357293869
edf02,16,,free_viewing,,6021,2.5136842105263155,19,110.07263157894738,39.26315789473684,3.1556219897027074
edf02,17,,free_viewing,,6043,2.0521052631578947,19,79.03631578947366,38.31578947368421,3.144133708422969
edf02,18,,free_viewing,,5859,2.152857142857143,7,214.34857142857143,84.0,1.1947431302270013
edf02,19,Punjabi,sentence_audio,passive,11187,1.566,10,141.452,59.8,0.8938946992044338
edf02,2,,free_viewing,,5790,1.5859999999999999,15,77.92533333333333,39.06666666666667,2.5906735751295336
edf02,20,Punjabi,sentence_audio,passive,10494,1.3645454545454545,11,151.22545454545454,60.54545454545455,1.0482180293501049
edf02,21,Punjabi,sentence_audio,passive,10559,1.2254545454545456,11,89.3009090909091,56.18181818181818,1.0417653186854816
edf02,22,Punjabi,sentence_audio,passive_dropped_agent,10403,2.0780000000000003,10,119.306,45.4,0.9612611746611553
edf02,23,Punjabi,sentence_audio,passive_dropped_agent,10300,1.9962500000000003,8,104.67999999999999,64.25,0.7766990291262136
