participant_id,trial_id,TRIAL_INDEX,saccade_transition,sentence,voice_id,mean_amplitude,mean_duration,n_transitions
P45,P45_5,5,object_to_object,UNDEFINED,UNDEFINED,3.0655555555555556,33.55555555555556,9
P45,P45_5,5,subject_to_object,UNDEFINED,UNDEFINED,5.21,46.0,1
P45,P45_5,5,subject_to_subject,UNDEFINED,UNDEFINED,3.0225,34.5,4
P45,P45_6,6,object_to_object,UNDEFINED,UNDEFINED,3.61,37.666666666666664,6
P45,P45_6,6,object_to_subject,UNDEFINED,UNDEFINED,5.09,46.0,1
P45,P45_6,6,subject_to_object,UNDEFINED,UNDEFINED,5.29,48.0,1
P45,P45_6,6,subject_to_subject,UNDEFINED,UNDEFINED,1.018,45.6,5
P45,P45_7,7,object_to_object,UNDEFINED,UNDEFINED,0.53,16.0,1
P45,P45_7,7,object_to_subject,UNDEFINED,UNDEFINED,7.62,52.0,2
P45,P45_7,7,subject_to_object,UNDEFINED,UNDEFINED,4.665,43.0,2
P45,P45_7,7,subject_to_subject,UNDEFINED,UNDEFINED,3.174285714285714,35.42857142857143,7
P45,P45_8,8,object_to_object,UNDEFINED,UNDEFINED,2.08,28.666666666666668,3
P45,P45_8,8,subject_to_subject,UNDEFINED,UNDEFINED,1.4666666666666668,24.666666666666668,3
P45,P45_9,9,object_to_object,UNDEFINED,UNDEFINED,1.54,26.0,3
P45,P45_9,9,object_to_subject,UNDEFINED,UNDEFINED,5.73,52.0,1
P45,P45_9,9,subject_to_object,UNDEFINED,UNDEFINED,4.925,45.0,2
P45,P45_9,9,subject_to_subject,UNDEFINED,UNDEFINED,1.5150000000000001,24.0,2
edf01,edf01_1,1,object_to_object,UNDEFINED,UNDEFINED,1.6700000000000002,26.22222222222222,9
edf01,edf01_1,1,object_to_subject,UNDEFINED,UNDEFINED,4.543333333333334,39.333333333333336,3
edf01,edf01_1,1,subject_to_object,UNDEFINED,UNDEFINED,6.354,49.2,5
edf01,edf01_1,1,subject_to_subject,UNDEFINED,UNDEFINED,1.3825,24.0,4
edf01,edf01_10,10,object_to_object,UNDEFINED,UNDEFINED,1.358,24.4,5
edf01,edf01_10,10,object_to_subject,UNDEFINED,UNDEFINED,5.795,43.0,2
edf01,edf01_10,10,subject_to_object,UNDEFINED,UNDEFINED,4.3125,74.5,4
edf01,edf01_10,10,subject_to_subject,UNDEFINED,UNDEFINED,2.64125,46.75,8
edf01,edf01_11,11,object_to_object,UNDEFINED,UNDEFINED,1.7999999999999998,32.666666666666664,12
edf01,edf01_11,11,object_to_subject,UNDEFINED,UNDEFINED,4.64,42.0,1
edf01,edf01_11,11,subject_to_object,UNDEFINED,UNDEFINED,3.795,36.0,2
edf01,edf01_11,11,subject_to_subject,UNDEFINED,UNDEFINED,0.7899999999999999,18.88888888888889,9
edf01,edf01_12,12,object_to_object,UNDEFINED,UNDEFINED,1.58,24.333333333333332,12
edf01,edf01_12,12,object_to_subject,UNDEFINED,UNDEFINED,2.725,29.0,2
