participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,total_trial_duration,mean_fixation_duration,total_trial_fixations,trial_start_time,trial_end_time,trial_duration,merge_key,n_saccades,mean_saccade_amplitude,mean_saccade_duration,mean_saccade_velocity,mean_peak_velocity,mean_fixation_duration_object,mean_fixation_duration_other,mean_fixation_duration_subject,n_fixations_object,n_fixations_other,n_fixations_subject,time_to_first_fixation_object,time_to_first_fixation_other,time_to_first_fixation_subject,total_fixation_duration_object,total_fixation_duration_other,total_fixation_duration_subject
edf27,edf27_31,31,exp_images/sentences/Painting.jpg,ACT,IMG_07,STIM_07,4759,679.8571428571429,7,5890,10859,4969,edf27|31|exp_images/sentences/Painting.jpg,7.0,3.4614285714285717,38.57142857142857,85.46285714285715,121.68571428571428,981.0,,454.0,3.0,,4.0,800.0,,0.0,2943.0,,1816.0
edf27,edf27_32,32,exp_images/sentences/Cake.jpg,ACT,IMG_15,STIM_15,4289,476.55555555555554,9,5705,10460,4755,edf27|32|exp_images/sentences/Cake.jpg,9.0,1.921111111111111,80.44444444444444,78.88444444444445,115.0311111111111,,98.0,523.875,,1.0,8.0,,4497.0,0.0,,98.0,4191.0
edf27,edf27_33,33,exp_images/sentences/Window.jpg,ACT,IMG_02,STIM_02,4304,358.6666666666667,12,5556,10516,4960,edf27|33|exp_images/sentences/Window.jpg,12.0,3.0508333333333333,58.833333333333336,92.67916666666667,141.1325,431.7142857142857,195.0,297.3333333333333,7.0,2.0,3.0,650.0,0.0,232.0,3022.0,390.0,892.0
edf27,edf27_34,34,exp_images/sentences/Fed-dog-passive.jpg,PWA,IMG_16,STIM_34,4601,575.125,8,5395,10388,4993,edf27|34|exp_images/sentences/Fed-dog-passive.jpg,7.0,3.507142857142857,56.0,107.34857142857145,228.6942857142857,244.66666666666663,1069.6666666666667,329.0,3.0,3.0,2.0,261.0,0.0,3641.0,734.0,3209.0,658.0
edf27,edf27_35,35,exp_images/sentences/Veg-passive.jpg,PWA,IMG_18,STIM_36,4039,192.33333333333331,21,5830,10823,4993,edf27|35|exp_images/sentences/Veg-passive.jpg,20.0,2.0035,47.7,70.1895,135.20499999999998,187.23529411764707,68.0,262.6666666666667,17.0,1.0,3.0,270.0,2342.0,0.0,3183.0,68.0,788.0
edf27,edf27_36,36,exp_images/sentences/Vase-passive.jpg,PWA,IMG_08,STIM_26,4300,537.5,8,5435,10427,4992,edf27|36|exp_images/sentences/Vase-passive.jpg,7.0,2.044285714285714,98.85714285714286,82.14857142857143,125.10142857142856,472.4,,646.0,5.0,,3.0,0.0,,1837.0,2362.0,,1938.0
edf27,edf27_4,4,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,4668,518.6666666666666,9,1132,6056,4924,edf27|4|UNDEFINEDnull,,,,,,799.5,344.0,260.6666666666667,4.0,2.0,3.0,244.0,0.0,3498.0,3198.0,688.0,782.0
edf27,edf27_5,5,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,4761,529.0,9,926,5919,4993,edf27|5|UNDEFINEDnull,,,,,,615.7142857142857,89.0,362.0,7.0,1.0,1.0,0.0,4904.0,1010.0,4310.0,89.0,362.0
edf27,edf27_6,6,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,4807,801.1666666666666,6,909,5880,4971,edf27|6|UNDEFINEDnull,,,,,,917.2,,221.0,5.0,,1.0,249.0,,0.0,4586.0,,221.0
edf27,edf27_7,7,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,4744,527.1111111111111,9,886,5878,4992,edf27|7|UNDEFINEDnull,,,,,,443.0,,594.4,4.0,,5.0,506.0,,0.0,1772.0,,2972.0
edf27,edf27_8,8,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,4472,406.54545454545456,11,1098,5956,4858,edf27|8|UNDEFINEDnull,,,,,,483.6666666666667,,314.0,6.0,,5.0,0.0,,2396.0,2902.0,,1570.0
edf27,edf27_9,9,UNDEFINEDnull,UNDEFINEDnull,IMG_02,UNDEFINEDnull,4286,476.22222222222223,9,1141,6133,4992,edf27|9|UNDEFINEDnull,,,,,,378.6666666666667,253.0,579.4,3.0,1.0,5.0,285.0,0.0,973.0,1136.0,253.0,2897.0
edf28,edf28_1,1,UNDEFINEDnull,UNDEFINEDnull,IMG_07,UNDEFINEDnull,4487,280.4375,16,852,5847,4995,edf28|1|UNDEFINEDnull,,,,,,293.15384615384613,182.0,247.0,13.0,1.0,2.0,0.0,2492.0,1242.0,3811.0,182.0,494.0
edf28,edf28_10,10,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,4687,360.5384615384616,13,825,5816,4991,edf28|10|UNDEFINEDnull,,,,,,367.8333333333333,,273.0,12.0,,1.0,297.0,,0.0,4414.0,,273.0
edf28,edf28_11,11,UNDEFINEDnull,UNDEFINEDnull,IMG_17,UNDEFINEDnull,4020,309.2307692307692,13,755,5747,4992,edf28|11|UNDEFINEDnull,,,,,,,,309.2307692307692,,,13.0,,,0.0,,,4020.0
edf28,edf28_12,12,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,4391,337.7692307692308,13,717,5710,4993,edf28|12|UNDEFINEDnull,,,,,,333.25,,392.0,12.0,,1.0,0.0,,2817.0,3999.0,,392.0
edf28,edf28_13,13,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,3856,226.8235294117647,17,918,5902,4984,edf28|13|UNDEFINEDnull,,,,,,175.3846153846154,,394.0,13.0,,4.0,0.0,,1192.0,2280.0,,1576.0
edf28,edf28_14,14,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,4305,358.75,12,745,5578,4833,edf28|14|UNDEFINEDnull,,,,,,329.3333333333333,445.6666666666667,330.0,3.0,3.0,6.0,1399.0,0.0,509.0,988.0,1337.0,1980.0
edf28,edf28_15,15,UNDEFINEDnull,UNDEFINEDnull,IMG_09,UNDEFINEDnull,4529,503.22222222222223,9,875,5770,4895,edf28|15|UNDEFINEDnull,,,,,,674.3333333333334,104.5,274.0,6.0,2.0,1.0,67.0,0.0,3569.0,4046.0,209.0,274.0
edf28,edf28_16,16,UNDEFINEDnull,UNDEFINEDnull,IMG_02,UNDEFINEDnull,4049,253.0625,16,896,5889,4993,edf28|16|UNDEFINEDnull,,,,,,298.75,274.0,197.8571428571429,8.0,1.0,7.0,258.0,1934.0,0.0,2390.0,274.0,1385.0
edf28,edf28_17,17,UNDEFINEDnull,UNDEFINEDnull,IMG_11,UNDEFINEDnull,3926,327.1666666666667,12,858,5850,4992,edf28|17|UNDEFINEDnull,,,,,,360.8,314.8,274.0,5.0,5.0,2.0,546.0,0.0,736.0,1804.0,1574.0,548.0
edf28,edf28_18,18,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,3313,184.05555555555557,18,1182,5787,4605,edf28|18|UNDEFINEDnull,,,,,,223.0,92.25,200.75,6.0,4.0,8.0,302.0,1088.0,0.0,1338.0,369.0,1606.0
edf28,edf28_19,19,exp_images/sentences/active_women_letter.jpg,ACT,IMG_17,STIM_71,4312,359.3333333333333,12,5941,10931,4990,edf28|19|exp_images/sentences/active_women_letter.jpg,11.0,2.261818181818182,61.63636363636363,160.37727272727273,537.670909090909,214.0,294.0,440.2857142857143,3.0,2.0,7.0,715.0,0.0,927.0,642.0,588.0,3082.0
edf28,edf28_2,2,UNDEFINEDnull,UNDEFINEDnull,IMG_15,UNDEFINEDnull,4632,463.2,10,683,5675,4992,edf28|2|UNDEFINEDnull,,,,,,388.0,291.0,577.2,3.0,2.0,5.0,0.0,1399.0,559.0,1164.0,582.0,2886.0
edf28,edf28_20,20,exp_images/sentences/active_boy_bucket.jpg,ACT,IMG_09,STIM_63,4462,343.2307692307692,13,5577,10569,4992,edf28|20|exp_images/sentences/active_boy_bucket.jpg,12.0,1.6658333333333335,44.16666666666666,136.48,545.3408333333333,402.3,,146.33333333333334,10.0,,3.0,0.0,,4259.0,4023.0,,439.0
edf28,edf28_21,21,exp_images/sentences/active_woman_clothes.jpg,ACT,IMG_06,STIM_60,4687,426.09090909090907,11,5293,10286,4993,edf28|21|exp_images/sentences/active_woman_clothes.jpg,10.0,2.574,30.6,74.735,110.463,520.6,324.0,352.0,5.0,1.0,5.0,0.0,2927.0,295.0,2603.0,324.0,1760.0
edf28,edf28_22,22,exp_images/sentences/passive_boy_door.jpg,PWA,IMG_10,STIM_82,4606,575.75,8,5581,10573,4992,edf28|22|exp_images/sentences/passive_boy_door.jpg,7.0,1.1871428571428573,55.142857142857146,113.75142857142858,244.85428571428568,575.75,,,8.0,,,0.0,,,4606.0,,
edf28,edf28_23,23,exp_images/sentences/passive_girl_lamp.jpg,PWA,IMG_01,STIM_73,4785,531.6666666666666,9,5547,10518,4971,edf28|23|exp_images/sentences/passive_girl_lamp.jpg,9.0,1.3655555555555554,24.22222222222222,54.97333333333333,77.50666666666667,572.5,,205.0,8.0,,1.0,235.0,,0.0,4580.0,,205.0
edf28,edf28_24,24,exp_images/sentences/passive_driver_scooter.jpg,PWA,IMG_14,STIM_86,4124,274.93333333333334,15,5354,10346,4992,edf28|24|exp_images/sentences/passive_driver_scooter.jpg,14.0,1.8457142857142856,62.0,102.67499999999998,451.795,286.7142857142857,,110.0,14.0,,1.0,0.0,,4882.0,4014.0,,110.0
edf28,edf28_25,25,exp_images/sentences/noagent_man_box.jpg,PNA,IMG_05,STIM_95,4662,358.61538461538464,13,6149,11141,4992,edf28|25|exp_images/sentences/noagent_man_box.jpg,12.0,1.8125,27.5,64.42083333333333,90.69166666666666,310.8,,388.5,5.0,,8.0,253.0,,0.0,1554.0,,3108.0
edf28,edf28_26,26,exp_images/sentences/noagent_girl_sapling.jpg,PNA,IMG_03,STIM_93,4666,424.1818181818182,11,5204,10182,4978,edf28|26|exp_images/sentences/noagent_girl_sapling.jpg,11.0,2.4172727272727275,31.454545454545453,76.85909090909091,106.29727272727273,443.4,,232.0,10.0,,1.0,268.0,,0.0,4434.0,,232.0
edf28,edf28_27,27,exp_images/sentences/noagent_man_shrub.jpg,PNA,IMG_04,STIM_94,4612,354.7692307692308,13,5177,10169,4992,edf28|27|exp_images/sentences/noagent_man_shrub.jpg,12.0,2.6641666666666666,31.666666666666668,82.66,117.2375,343.4,,361.875,5.0,,8.0,267.0,,0.0,1717.0,,2895.0
edf28,edf28_28,28,exp_images/sentences/Dog-dug.jpg,ACT,IMG_13,STIM_13,3119,155.95,20,6141,11028,4887,edf28|28|exp_images/sentences/Dog-dug.jpg,20.0,2.3605,94.6,83.3835,172.072,38.0,106.1818181818182,239.125,1.0,11.0,8.0,4459.0,391.0,0.0,38.0,1168.0,1913.0
edf28,edf28_29,29,exp_images/sentences/Frisbee.jpg,ACT,IMG_12,STIM_12,4179,245.8235294117647,17,5905,10856,4951,edf28|29|exp_images/sentences/Frisbee.jpg,17.0,3.962352941176471,48.94117647058823,98.51176470588236,170.20470588235295,446.6666666666667,163.33333333333334,232.375,3.0,6.0,8.0,429.0,49.0,0.0,1340.0,980.0,1859.0
edf28,edf28_3,3,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,4446,317.57142857142856,14,682,5674,4992,edf28|3|UNDEFINEDnull,,,,,,338.0,,302.25,6.0,,8.0,614.0,,0.0,2028.0,,2418.0
edf28,edf28_30,30,exp_images/sentences/Tabla.jpg,ACT,IMG_11,STIM_11,4644,387.0,12,6180,11152,4972,edf28|30|exp_images/sentences/Tabla.jpg,12.0,2.411666666666666,30.0,75.5525,108.78583333333334,461.6666666666667,288.6666666666667,336.0,6.0,3.0,3.0,252.0,0.0,390.0,2770.0,866.0,1008.0
edf28,edf28_31,31,exp_images/sentences/Painting-passive.jpg,PWA,IMG_07,STIM_25,3995,210.26315789473685,19,5516,10175,4659,edf28|31|exp_images/sentences/Painting-passive.jpg,19.0,2.5163157894736843,59.89473684210526,114.50526315789472,348.478947368421,191.0,258.0,290.6666666666667,15.0,1.0,3.0,0.0,576.0,1842.0,2865.0,258.0,872.0
edf28,edf28_32,32,exp_images/sentences/Cake-passive.jpg,PWA,IMG_15,STIM_33,4406,367.1666666666667,12,5579,10571,4992,edf28|32|exp_images/sentences/Cake-passive.jpg,11.0,1.8127272727272727,53.27272727272727,123.62454545454548,460.2781818181818,473.25,175.5,360.3333333333333,4.0,2.0,6.0,457.0,0.0,297.0,1893.0,351.0,2162.0
edf28,edf28_33,33,exp_images/sentences/Window-passive.jpg,PWA,IMG_02,STIM_20,4224,281.6,15,6098,11064,4966,edf28|33|exp_images/sentences/Window-passive.jpg,15.0,2.8393333333333337,52.53333333333333,132.186,452.7366666666667,296.75,270.8,248.0,8.0,5.0,2.0,768.0,0.0,434.0,2374.0,1354.0,496.0
edf28,edf28_34,34,exp_images/sentences/Fed-dog-woa.jpg,PNA,IMG_16,STIM_52,4746,474.6,10,5460,10452,4992,edf28|34|exp_images/sentences/Fed-dog-woa.jpg,9.0,1.346666666666667,27.33333333333333,63.53555555555555,93.22666666666666,609.7142857142857,159.33333333333334,,7.0,3.0,,0.0,3930.0,,4268.0,478.0,
edf28,edf28_35,35,exp_images/sentences/Veg-woa.jpg,PNA,IMG_18,STIM_54,3609,138.80769230769232,26,5544,10535,4991,edf28|35|exp_images/sentences/Veg-woa.jpg,25.0,1.5352,55.28,73.2428,146.49,85.33333333333333,141.55555555555554,165.72727272727272,6.0,9.0,11.0,1318.0,0.0,244.0,512.0,1274.0,1823.0
