participant_id,trial_id,language,session_type,sentence_type,fixation_trial_length_ms,fixation_total_fixation_duration,fixation_mean_fixation_duration,fixation_fixation_count,fixation_mean_fixation_x,fixation_mean_fixation_y,interest_area_trial_length_ms,interest_area_total_interest_area_dwell_time,interest_area_total_interest_area_entry_count,interest_area_min_time_to_first_fixation,interest_area_interest_area_dwell_time_normalized,saccade_trial_length_ms,saccade_mean_saccade_amplitude,saccade_saccade_count,saccade_mean_saccade_velocity,saccade_mean_saccade_duration,saccade_saccade_rate
edf16,23,English,sentence_audio,passive,10485.0,4463.0,557.875,8.0,932.7249999999999,495.76249999999993,4704.0,4704,5,5493.0,1.0,10485.0,4.135,8.0,110.18875,36.0,0.7629947544110635
edf16,24,English,sentence_audio,passive,10956.0,4444.0,888.8,5.0,986.64,443.5200000000001,4738.0,4738,3,5964.0,1.0,10956.0,1.802,5.0,161.21800000000002,50.8,0.45637093829864916
edf16,25,English,sentence_audio,passive_dropped_agent,11118.0,4394.0,627.7142857142857,7.0,869.4714285714286,497.4428571428572,4670.0,4236,4,6126.0,0.9070663811563169,11118.0,2.847142857142857,7.0,127.66714285714286,46.0,0.6296096420219464
edf16,26,English,sentence_audio,passive_dropped_agent,10227.0,3233.0,359.22222222222223,9.0,979.9333333333333,322.1222222222222,4554.0,3233,5,6586.0,0.709925340360123,10227.0,3.2222222222222223,9.0,116.95444444444443,48.666666666666664,0.8800234672924611
edf16,27,English,sentence_audio,passive_dropped_agent,10857.0,3129.0,625.8,5.0,869.32,433.94000000000005,4618.0,4618,2,5865.0,1.0,10857.0,1.538,5.0,233.012,74.8,0.46053237542599246
edf16,28,Punjabi,sentence_audio,active,10995.0,4089.0,454.3333333333333,9.0,1012.9333333333333,377.87777777777785,4467.0,4467,7,6002.0,1.0,10995.0,2.5855555555555556,9.0,163.07333333333335,58.44444444444444,0.8185538881309686
edf16,29,Punjabi,sentence_audio,active,10186.0,4406.0,629.4285714285714,7.0,927.6999999999998,414.17142857142863,4644.0,4294,5,5194.0,0.9246339362618432,10186.0,2.412857142857143,7.0,129.20428571428573,49.714285714285715,0.6872177498527391
edf16,3,,free_viewing,,6117.0,4179.0,245.8235294117647,17.0,941.4294117647058,374.1058823529412,4412.0,4128,7,1125.0,0.9356300997280145,6117.0,3.4958823529411767,17.0,86.84411764705884,34.11764705882353,2.7791401013568744
edf16,30,Punjabi,sentence_audio,active,11048.0,4302.0,478.0,9.0,1006.0666666666667,386.8777777777778,4534.0,4302,6,6314.0,0.948831054256727,11048.0,2.6300000000000003,9.0,220.68888888888893,50.888888888888886,0.8146270818247646
edf16,31,Punjabi,sentence_audio,passive,10255.0,4353.0,725.5,6.0,971.6666666666665,610.8000000000001,4532.0,4532,3,5263.0,1.0,10255.0,1.9899999999999995,6.0,197.42166666666665,76.66666666666667,0.5850804485616772
edf16,32,Punjabi,sentence_audio,passive,10800.0,4476.0,1119.0,4.0,961.5500000000001,539.15,4705.0,4705,3,5807.0,1.0,10800.0,5.1675,4.0,189.3125,72.0,0.37037037037037035
edf16,33,Punjabi,sentence_audio,passive,10735.0,4435.0,739.1666666666666,6.0,946.5333333333333,446.01666666666665,4683.0,4435,5,6018.0,0.9470424941276959,10735.0,2.1149999999999998,6.0,163.69666666666666,51.666666666666664,0.5589194224499302
edf16,34,Punjabi,sentence_audio,passive_dropped_agent,10627.0,4429.0,885.8,5.0,960.8199999999999,417.7,4683.0,4429,5,5920.0,0.9457612641469144,10627.0,3.378,5.0,206.95999999999998,62.0,0.4704996706502305
edf16,35,Punjabi,sentence_audio,passive_dropped_agent,10878.0,4416.0,1104.0,4.0,1004.675,436.1,4635.0,4635,3,5885.0,1.0,10878.0,3.2325,4.0,151.475,89.5,0.36771465342893916
