participant_id,data_file,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,IA_LABEL,IA_DWELL_TIME,IA_FIXATION_COUNT,IA_FIRST_FIXATION_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_INDEX,IA_AREA,IA_LEFT,IA_RIGHT,IA_TOP,IA_BOTTOM,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,TRIAL_IA_COUNT,sentence,voice_id,image_id,stim_id,image,stimulus_file,session_var,exp_id,language,audio,aoi_type,trial_id,sentence_clean
edf01,interest_area_edf01_2025_04_08_13_47.xls,18,Trial: 18,2481196,o_bucket_boy_filled_bucket,2306,5,764.0,274.0,1.0,141689.0,,,,,4559.0,12,2,UNDEFINED,UNDEFINED,IMG_09,UNDEFINED,exp_images/images/boy_filled_bucket.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_18,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,18,Trial: 18,2481196,s_boy_boy_filled_bucket,2011,6,2804.0,404.0,5.0,133762.5,,,,,4559.0,12,2,UNDEFINED,UNDEFINED,IMG_09,UNDEFINED,exp_images/images/boy_filled_bucket.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_18,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,19,Trial: 19,2509162,o_letter_woman_read_letter,1180,2,8184.0,824.0,3.0,138902.0,917.0,1315.0,581.0,930.0,4833.0,6,2,exp_images/sentences/Letter.jpg,ACT,IMG_17,STIM_17,exp_images/images/women_read_letter.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_17_P_ACT,PUNJABI,exp_images/audio\PUNJABI\letter.wav,object,edf01_19,exp_images/sentences/Letter.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,19,Trial: 19,2509162,s_woman_woman_read_letter,3653,4,5530.0,392.0,1.0,354023.5,,,,,4833.0,6,2,exp_images/sentences/Letter.jpg,ACT,IMG_17,STIM_17,exp_images/images/women_read_letter.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_17_P_ACT,PUNJABI,exp_images/audio\PUNJABI\letter.wav,subject,edf01_19,exp_images/sentences/Letter.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,20,Trial: 20,2523544,o_bucket_boy_filled_bucket,3734,7,6057.0,211.0,1.0,141689.0,,,,,4726.0,9,2,exp_images/sentences/Bucket.jpg,ACT,IMG_09,STIM_09,exp_images/images/boy_filled_bucket.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_09_P_ACT,PUNJABI,exp_images/audio\PUNJABI\bucket.wav,object,edf01_20,exp_images/sentences/Bucket.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,20,Trial: 20,2523544,s_boy_boy_filled_bucket,992,2,7634.0,404.0,4.0,133762.5,,,,,4726.0,9,2,exp_images/sentences/Bucket.jpg,ACT,IMG_09,STIM_09,exp_images/images/boy_filled_bucket.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_09_P_ACT,PUNJABI,exp_images/audio\PUNJABI\bucket.wav,subject,edf01_20,exp_images/sentences/Bucket.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,21,Trial: 21,2538492,o_clothes_woman_folded_clothes,4438,7,6162.0,258.0,2.0,115830.0,742.0,1072.0,523.0,874.0,4616.0,8,2,exp_images/sentences/Folded-clothes.jpg,ACT,IMG_06,STIM_06,exp_images/images/women_fold_clothes.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_06_P_ACT,PUNJABI,exp_images/audio\PUNJABI\clothes.wav,object,edf01_21,exp_images/sentences/Folded-clothes.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,21,Trial: 21,2538492,s_woman_woman_folded_clothes,0,0,,,,138567.71,803.0,1173.0,131.0,505.0,4616.0,8,2,exp_images/sentences/Folded-clothes.jpg,ACT,IMG_06,STIM_06,exp_images/images/women_fold_clothes.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_06_P_ACT,PUNJABI,exp_images/audio\PUNJABI\clothes.wav,subject,edf01_21,exp_images/sentences/Folded-clothes.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,22,Trial: 22,2553126,s_boy_boy_opened_door,2262,5,6010.0,194.0,3.0,150682.0,676.0,905.0,265.0,923.0,4217.0,10,2,exp_images/sentences/Closed-door-passive.jpg,PWA,IMG_10,STIM_28,exp_images/images/boy_opened_door.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_10_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_door.wav,subject,edf01_22,exp_images/sentences/Closed-door-passive.jpg
edf01,interest_area_edf01_2025_04_08_13_47.xls,22,Trial: 22,2553126,o_door_boy_opened_door,1955,5,5324.0,62.0,1.0,267840.0,917.0,1277.0,74.0,818.0,4217.0,10,2,exp_images/sentences/Closed-door-passive.jpg,PWA,IMG_10,STIM_28,exp_images/images/boy_opened_door.jpg,stimuli_list_subj_1_a.csv,experiment,IMG_10_P_PWA,PUNJABI,exp_images/audio\PUNJABI\p_door.wav,object,edf01_22,exp_images/sentences/Closed-door-passive.jpg
