participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_fixation_duration,mean_fixation_duration,fixation_count,mean_fixation_x,mean_fixation_y
edf05,7,,free_viewing,,5779,4292,330.15384615384613,13,762.6923076923078,586.7615384615385
edf05,8,,free_viewing,,6108,4486,373.8333333333333,12,1038.4083333333333,375.97499999999997
edf05,9,,free_viewing,,6082,4374,437.4,10,1026.3899999999999,618.5799999999999
edf06,1,,free_viewing,,5725,3993,285.2142857142857,14,1031.1142857142856,496.2142857142857
edf06,10,,free_viewing,,5966,4276,305.42857142857144,14,957.8714285714285,721.157142857143
edf06,11,,free_viewing,,6013,4281,305.7857142857143,14,1017.2571428571429,739.0857142857143
edf06,12,,free_viewing,,6017,3848,240.5,16,900.9999999999999,673.7624999999999
edf06,13,,free_viewing,,5925,4349,310.64285714285717,14,966.4,529.8071428571427
edf06,14,,free_viewing,,5861,4136,258.5,16,982.45,553.7937499999999
edf06,15,,free_viewing,,6138,4260,250.58823529411765,17,925.3470588235294,596.1882352941175
edf06,16,,free_viewing,,6025,4140,217.89473684210526,19,889.5526315789472,439.8894736842106
edf06,17,,free_viewing,,6129,4417,294.46666666666664,15,964.9866666666665,484.1333333333333
edf06,18,,free_viewing,,5912,4454,342.61538461538464,13,904.976923076923,515.3769230769232
edf06,19,English,sentence_audio,passive_dropped_agent,10696,4318,287.8666666666667,15,1013.9066666666666,501.64
edf06,2,,free_viewing,,5655,4066,271.06666666666666,15,1057.42,622.6466666666668
edf06,20,English,sentence_audio,passive_dropped_agent,10891,4375,336.53846153846155,13,949.1461538461537,485.31538461538463
edf06,21,English,sentence_audio,passive_dropped_agent,11131,3985,398.5,10,948.8699999999999,552.04
edf06,22,Punjabi,sentence_audio,active,10376,4208,280.53333333333336,15,977.0533333333332,446.25333333333333
edf06,23,Punjabi,sentence_audio,active,10651,4377,291.8,15,866.74,441.0533333333333
