participant_id,trial_id,TRIAL_INDEX,aoi_type,sentence,voice_id,image_id,stim_id,total_fixation_duration,mean_fixation_duration,median_fixation_duration,n_fixations,first_fixation_time,last_fixation_time,time_to_first_fixation
edf01,edf01_1,1,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,1307,326.75,228.5,4,699,3170,0
edf01,edf01_10,10,object,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,1900,271.42857142857144,242.0,7,1412,3886,442
edf01,edf01_10,10,object,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,1966,983.0,983.0,2,1940,5962,970
edf01,edf01_10,10,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,2675,334.375,363.0,8,1132,6125,162
edf01,edf01_10,10,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,2526,505.2,300.0,5,970,5744,0
edf01,edf01_11,11,object,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,2750,305.55555555555554,236.0,9,1390,5546,337
edf01,edf01_11,11,object,UNDEFINEDnull,UNDEFINEDnull,IMG_17,UNDEFINEDnull,992,165.33333333333334,138.0,6,2684,3776,1631
edf01,edf01_11,11,other,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,658,329.0,329.0,2,4124,4798,3071
edf01,edf01_11,11,other,UNDEFINEDnull,UNDEFINEDnull,IMG_17,UNDEFINEDnull,148,148.0,148.0,1,3794,3940,2741
edf01,edf01_11,11,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,1067,266.75,255.5,4,1102,6095,49
edf01,edf01_11,11,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_17,UNDEFINEDnull,3058,305.8,195.0,10,1053,6045,0
edf01,edf01_12,12,object,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,1448,289.6,246.0,5,1452,4600,534
edf01,edf01_12,12,object,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,2902,263.8181818181818,170.0,11,1248,4804,330
edf01,edf01_12,12,other,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,1421,1421.0,1421.0,1,4624,6045,3706
edf01,edf01_12,12,other,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,462,154.0,112.0,3,918,5218,0
edf01,edf01_12,12,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,1788,298.0,216.0,6,1052,3902,134
edf01,edf01_12,12,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,840,168.0,130.0,5,1076,5674,158
edf01,edf01_13,13,object,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,3437,381.8888888888889,362.0,9,1099,6088,279
edf01,edf01_13,13,object,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,1580,263.3333333333333,229.0,6,820,3964,0
edf01,edf01_13,13,other,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,1790,447.5,430.0,4,1866,5446,1046
