participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,mean_saccade_amplitude,mean_saccade_duration,mean_saccade_velocity,mean_peak_velocity,n_saccades
edf14,edf14_6,6,UNDEFINED,UNDEFINED,IMG_09,UNDEFINED,1.5764285714285715,24.428571428571427,61.792142857142856,87.125,14
edf14,edf14_7,7,UNDEFINED,UNDEFINED,IMG_11,UNDEFINED,2.7244444444444444,31.0,82.81555555555556,130.88444444444445,18
edf14,edf14_8,8,UNDEFINED,UNDEFINED,IMG_12,UNDEFINED,3.3613333333333335,34.8,93.07600000000001,149.95200000000003,15
edf14,edf14_9,9,UNDEFINED,UNDEFINED,IMG_17,UNDEFINED,3.7716666666666665,46.833333333333336,113.35833333333333,268.12333333333333,12
edf15,edf15_1,1,UNDEFINED,UNDEFINED,IMG_15,UNDEFINED,3.2478571428571428,33.142857142857146,89.28642857142857,144.57785714285714,14
edf15,edf15_10,10,UNDEFINED,UNDEFINED,IMG_16,UNDEFINED,3.021,32.6,84.9595,130.8095,20
edf15,edf15_11,11,UNDEFINED,UNDEFINED,IMG_17,UNDEFINED,2.092857142857143,27.428571428571427,66.16214285714285,96.46642857142857,14
edf15,edf15_12,12,UNDEFINED,UNDEFINED,IMG_04,UNDEFINED,3.5823529411764703,40.8235294117647,108.00941176470589,291.57823529411763,17
edf15,edf15_13,13,UNDEFINED,UNDEFINED,IMG_01,UNDEFINED,2.3145,28.3,73.85499999999999,109.70899999999999,20
edf15,edf15_14,14,UNDEFINED,UNDEFINED,IMG_06,UNDEFINED,2.305333333333333,61.46666666666667,147.2133333333333,545.8366666666667,15
edf15,edf15_15,15,UNDEFINED,UNDEFINED,IMG_18,UNDEFINED,2.5266666666666664,36.0,88.91133333333333,238.21266666666668,15
edf15,edf15_16,16,UNDEFINED,UNDEFINED,IMG_07,UNDEFINED,3.176111111111111,50.333333333333336,124.21666666666667,400.4538888888889,18
edf15,edf15_17,17,UNDEFINED,UNDEFINED,IMG_05,UNDEFINED,2.6545,30.7,77.8035,120.34400000000001,20
edf15,edf15_18,18,UNDEFINED,UNDEFINED,IMG_08,UNDEFINED,2.5905882352941174,36.8235294117647,90.05705882352942,192.84411764705882,17
