participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length
edf02,31,English,sentence_audio,passive_dropped_agent,o_picture_artiste_drew_picture,4425.0,3017,2,5685.0,5685.0,0.6818079096045198
edf02,31,English,sentence_audio,passive_dropped_agent,s_artiste_artiste_drew_picture,4425.0,1408,2,6622.0,6622.0,0.31819209039548024
edf02,32,English,sentence_audio,passive_dropped_agent,o_cake_girl_baked_cake,4604.0,2044,2,5900.0,5900.0,0.4439617723718506
edf02,32,English,sentence_audio,passive_dropped_agent,s_girl_girl_baked_cake,4604.0,666,1,6964.0,6964.0,0.14465682015638576
edf02,33,English,sentence_audio,passive_dropped_agent,o_window_girl_opened_window,4340.0,870,2,6254.0,6254.0,0.20046082949308755
edf02,33,English,sentence_audio,passive_dropped_agent,s_girl_girl_opened_window,4340.0,3270,3,6014.0,6014.0,0.7534562211981567
edf02,34,Punjabi,sentence_audio,active,o_dog_girl_fed_dog,4340.0,3464,2,6512.0,6512.0,0.7981566820276498
edf02,34,Punjabi,sentence_audio,active,s_girl_girl_fed_dog,4340.0,222,1,6252.0,6252.0,0.05115207373271889
edf02,35,Punjabi,sentence_audio,active,o_veg_boy_cut_vegetables,4673.0,1264,1,5650.0,5650.0,0.2704900492189172
edf02,35,Punjabi,sentence_audio,active,s_boy_boy_cut_vegetables,4673.0,3409,2,5404.0,5404.0,0.7295099507810828
edf02,36,Punjabi,sentence_audio,active,o_vase_boy_broke_vase,4657.0,4657,1,6099.0,6099.0,1.0
edf02,36,Punjabi,sentence_audio,active,s_boy_boy_broke_vase,4657.0,0,0,,,0.0
edf02,4,,free_viewing,,o_tabla_child_play_tabla,4464.0,792,1,1294.0,1294.0,0.1774193548387097
edf02,4,,free_viewing,,s_child_child_play_tabla,4464.0,1930,2,2180.0,2180.0,0.43234767025089604
edf02,5,,free_viewing,,o_door_boy_opened_door,4374.0,2058,3,1184.0,1184.0,0.47050754458161864
edf02,5,,free_viewing,,s_boy_boy_opened_door,4374.0,2316,2,1608.0,1608.0,0.5294924554183813
edf02,6,,free_viewing,,o_bucket_boy_filled_bucket,4440.0,1411,1,1135.0,1135.0,0.31779279279279277
edf02,6,,free_viewing,,s_boy_boy_filled_bucket,4440.0,2842,1,2694.0,2694.0,0.6400900900900901
edf02,7,,free_viewing,,o_frisbee_child_throw_frisbee,4224.0,854,2,962.0,962.0,0.2021780303030303
edf02,7,,free_viewing,,s_child_child_throw_frisbee,4224.0,1974,3,1414.0,1414.0,0.46732954545454547
edf02,8,,free_viewing,,o_cake_girl_baked_cake,4520.0,1672,2,1116.0,1116.0,0.36991150442477877
edf02,8,,free_viewing,,s_girl_girl_baked_cake,4520.0,2127,2,707.0,707.0,0.4705752212389381
edf02,9,,free_viewing,,o_shrub_man_cut_shrub,4253.0,2288,2,1104.0,1104.0,0.5379731953914884
edf02,9,,free_viewing,,s_man_man_cut_shrub,4253.0,1965,2,899.0,899.0,0.46202680460851164
edf03,1,,free_viewing,,o_window_girl_opened_window,4679.0,1746,1,3850.0,3850.0,0.3731566574054285
edf03,1,,free_viewing,,s_girl_girl_opened_window,4679.0,2933,2,1047.0,1047.0,0.6268433425945715
