participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast,aoi_role
edf23,31,Punjabi,sentence_audio,passive_dropped_agent,o_hole_dog_dug_hole,4588.0,984,3,6430.0,6430.0,0.21447253705318226,exp_images/audio\PUNJABI\p_woa_dug.wav,IMG_13_P_PNA,exp_images/images/dog_dug_hole.jpg,IMG_13,exp_images/sentences/Dog-dug-woa.jpg,STIM_49,stimuli_list_subj_11_b.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0,object
edf23,31,Punjabi,sentence_audio,passive_dropped_agent,s_dog_dog_dug_hole,4588.0,2424,4,5514.0,5514.0,0.5283347863993025,exp_images/audio\PUNJABI\p_woa_dug.wav,IMG_13_P_PNA,exp_images/images/dog_dug_hole.jpg,IMG_13,exp_images/sentences/Dog-dug-woa.jpg,STIM_49,stimuli_list_subj_11_b.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0,agent
edf23,32,Punjabi,sentence_audio,passive_dropped_agent,o_veg_boy_cut_vegetables,4354.0,2146,2,6060.0,6060.0,0.4928801102434543,exp_images/audio\PUNJABI\p_woa_veg.wav,IMG_18_P_PNA,exp_images/images/boy_cut_vegetables.jpg,IMG_18,exp_images/sentences/Veg-woa.jpg,STIM_54,stimuli_list_subj_11_b.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0,object
edf23,32,Punjabi,sentence_audio,passive_dropped_agent,s_boy_boy_cut_vegetables,4354.0,2208,3,5809.0,5809.0,0.5071198897565456,exp_images/audio\PUNJABI\p_woa_veg.wav,IMG_18_P_PNA,exp_images/images/boy_cut_vegetables.jpg,IMG_18,exp_images/sentences/Veg-woa.jpg,STIM_54,stimuli_list_subj_11_b.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0,agent
edf23,33,Punjabi,sentence_audio,passive_dropped_agent,o_cake_girl_baked_cake,4378.0,760,3,7262.0,7262.0,0.17359524897213338,exp_images/audio\PUNJABI\p_woa_cake.wav,IMG_15_P_PNA,exp_images/images/girl_baked_cake.jpg,IMG_15,exp_images/sentences/Cake-woa.jpg,STIM_51,stimuli_list_subj_11_b.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0,object
edf23,33,Punjabi,sentence_audio,passive_dropped_agent,s_girl_girl_baked_cake,4378.0,1344,3,6778.0,6778.0,0.3069894929191412,exp_images/audio\PUNJABI\p_woa_cake.wav,IMG_15_P_PNA,exp_images/images/girl_baked_cake.jpg,IMG_15,exp_images/sentences/Cake-woa.jpg,STIM_51,stimuli_list_subj_11_b.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0,agent
edf23,34,English,sentence_audio,active,o_clothes_woman_folded_clothes,3406.0,2464,3,5212.0,5212.0,0.723429242513212,exp_images/audio\ENGLISH\clothes.wav,IMG_06_E_ACT,exp_images/images/women_fold_clothes.jpg,IMG_06,exp_images/sentences/active_woman_clothes.jpg,STIM_60,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,object
edf23,34,English,sentence_audio,active,s_woman_woman_folded_clothes,3406.0,892,2,5684.0,5684.0,0.26189078097475044,exp_images/audio\ENGLISH\clothes.wav,IMG_06_E_ACT,exp_images/images/women_fold_clothes.jpg,IMG_06,exp_images/sentences/active_woman_clothes.jpg,STIM_60,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,agent
edf23,35,English,sentence_audio,active,o_letter_woman_read_letter,3365.0,154,1,8402.0,8402.0,0.045765230312035665,exp_images/audio\ENGLISH\letter.wav,IMG_17_E_ACT,exp_images/images/women_read_letter.jpg,IMG_17,exp_images/sentences/active_women_letter.jpg,STIM_71,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,object
edf23,35,English,sentence_audio,active,s_woman_woman_read_letter,3365.0,2253,3,5797.0,5797.0,0.6695393759286775,exp_images/audio\ENGLISH\letter.wav,IMG_17_E_ACT,exp_images/images/women_read_letter.jpg,IMG_17,exp_images/sentences/active_women_letter.jpg,STIM_71,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,agent
