participant_id,trial_id,language,session_type,sentence_type,first_aoi_fix_index,current_fix_interest_area_label,first_aoi_fix_start,first_aoi_fix_x,first_aoi_fix_y,first_aoi_role,agent_first_look,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast
edf02,34,Punjabi,sentence_audio,active,2,o_dog_girl_fed_dog,6512,907.9,719.5,object,0,exp_images/audio\PUNJABI\fed.wav,IMG_16_P_ACT,exp_images/images/girl_fed_dog.jpg,IMG_16,exp_images/sentences/Fed-dog.jpg,STIM_16,stimuli_list_subj_2_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf02,35,Punjabi,sentence_audio,active,2,o_veg_boy_cut_vegetables,5650,887.5,684.8,object,0,exp_images/audio\PUNJABI\veg.wav,IMG_18_P_ACT,exp_images/images/boy_cut_vegetables.jpg,IMG_18,exp_images/sentences/Veg.jpg,STIM_18,stimuli_list_subj_2_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf02,36,Punjabi,sentence_audio,active,2,o_vase_boy_broke_vase,7840,968.2,372.6,object,0,exp_images/audio\PUNJABI\vase.wav,IMG_08_P_ACT,exp_images/images/boy_broke_vase.jpg,IMG_08,exp_images/sentences/Vase.jpg,STIM_08,stimuli_list_subj_2_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf03,19,Punjabi,sentence_audio,passive_dropped_agent,2,s_woman_woman_read_letter,5644,917.0,349.5,agent,1,exp_images/audio\PUNJABI\p_woa_letter.wav,IMG_17_P_PNA,exp_images/images/women_read_letter.jpg,IMG_17,exp_images/sentences/Letter-woa.jpg,STIM_53,stimuli_list_subj_3_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf03,20,Punjabi,sentence_audio,passive_dropped_agent,2,o_bucket_boy_filled_bucket,6226,854.7,397.9,object,0,exp_images/audio\PUNJABI\p_woa_tub.wav,IMG_09_P_PNA,exp_images/images/boy_filled_bucket.jpg,IMG_09,exp_images/sentences/Bucket-woa.jpg,STIM_45,stimuli_list_subj_3_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf03,21,Punjabi,sentence_audio,passive_dropped_agent,2,o_clothes_woman_folded_clothes,5702,824.3,618.3,object,0,exp_images/audio\PUNJABI\p_woa_clothes.wav,IMG_06_P_PNA,exp_images/images/women_fold_clothes.jpg,IMG_06,exp_images/sentences/Folded-clothes-woa.jpg,STIM_42,stimuli_list_subj_3_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf03,22,English,sentence_audio,active,2,s_boy_boy_opened_door,6224,838.0,393.0,agent,1,exp_images/audio\ENGLISH\door.wav,IMG_10_E_ACT,exp_images/images/boy_opened_door.jpg,IMG_10,exp_images/sentences/active_boy_door.jpg,STIM_64,stimuli_list_subj_3_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf03,23,English,sentence_audio,active,2,o_lamp_girl_light_lamp,5448,729.3,512.1,object,0,exp_images/audio\ENGLISH\lamp.wav,IMG_01_E_ACT,exp_images/images/girl_lighted_lamp.jpg,IMG_01,exp_images/sentences/active_girl_lamp.jpg,STIM_55,stimuli_list_subj_3_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf03,24,English,sentence_audio,active,2,s_driver_driver_wash_scooter,5770,645.6,489.3,agent,1,exp_images/audio\ENGLISH\scooter.wav,IMG_14_E_ACT,exp_images/images/driver_wash_scooter.jpg,IMG_14,exp_images/sentences/active_driver_scooter.jpg,STIM_68,stimuli_list_subj_3_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf03,25,English,sentence_audio,passive,2,s_man_man_pushed_box,5620,907.5,319.1,agent,1,exp_images/audio\ENGLISH\p_box.wav,IMG_05_E_PWA,exp_images/images/man_pushed_box.jpg,IMG_05,exp_images/sentences/passive_man_box.jpg,STIM_77,stimuli_list_subj_3_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
