participant_id,image_id,baseline_fixation_trial_length_ms,baseline_fixation_total_fixation_duration,baseline_fixation_mean_fixation_duration,baseline_fixation_fixation_count,baseline_fixation_mean_fixation_x,baseline_fixation_mean_fixation_y,baseline_interest_area_trial_length_ms,baseline_interest_area_total_interest_area_dwell_time,baseline_interest_area_total_interest_area_entry_count,baseline_interest_area_min_time_to_first_fixation,baseline_interest_area_interest_area_dwell_time_normalized,baseline_saccade_trial_length_ms,baseline_saccade_mean_saccade_amplitude,baseline_saccade_saccade_count,baseline_saccade_mean_saccade_velocity,baseline_saccade_mean_saccade_duration,baseline_saccade_saccade_rate
edf05,IMG_01,6042.0,3946.0,358.72727272727275,11.0,790.6272727272728,507.57272727272726,4216.0,4216,4,1050.0,1.0,6042.0,2.6554545454545457,11.0,150.2590909090909,70.54545454545455,1.8205892088712348
edf05,IMG_02,5965.0,4057.0,368.8181818181818,11.0,1085.9636363636364,412.44545454545465,4352.0,4057,5,1298.0,0.9322150735294118,5965.0,2.679090909090909,11.0,122.30818181818182,58.18181818181818,1.8440905280804691
edf05,IMG_03,5779.0,4292.0,330.15384615384613,13.0,762.6923076923077,586.7615384615385,4532.0,3952,4,786.0,0.8720211827007943,5779.0,2.0200000000000005,14.0,96.02428571428571,34.285714285714285,2.422564457518602
edf05,IMG_04,5836.0,4020.0,335.0,12.0,891.1500000000003,472.78333333333336,4279.0,4279,4,845.0,1.0,5836.0,2.535833333333333,12.0,141.60083333333333,59.33333333333334,2.0562028786840303
edf05,IMG_05,6108.0,4486.0,373.83333333333326,12.0,1038.4083333333333,375.975,4634.0,4634,6,1116.0,1.0,6108.0,2.4341666666666666,12.0,75.8775,29.83333333333333,1.9646365422396856
edf05,IMG_06,6045.0,4191.0,349.25,12.0,914.3666666666667,643.9333333333334,4451.0,4191,3,1336.0,0.9415861604133904,6045.0,1.8791666666666669,12.0,123.42583333333336,45.16666666666666,1.9851116625310172
edf05,IMG_07,5969.0,4301.0,358.41666666666674,12.0,993.0666666666666,381.44166666666666,4541.0,4541,3,976.0,1.0,5969.0,2.779166666666667,12.0,101.215,37.66666666666666,2.010386999497403
edf05,IMG_08,5635.0,4061.0,338.4166666666667,12.0,928.925,469.025,4349.0,4349,3,742.0,1.0,5635.0,1.9130769230769231,13.0,147.6130769230769,51.230769230769226,2.3070097604259097
edf05,IMG_09,6006.0,4498.0,499.77777777777777,9.0,958.5,497.1555555555556,4765.0,4765,5,1013.0,1.0,6006.0,1.8422222222222218,9.0,66.91666666666667,25.33333333333333,1.4985014985014984
edf05,IMG_10,5754.0,4308.0,287.2,15.0,923.6199999999997,417.54666666666674,4633.0,4633,15,761.0,1.0,5754.0,1.4439999999999995,15.0,58.162000000000006,24.0,2.606882168925965
